index,match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
3128,13,104,2,17.1,0,Rinku Singh,Mohammed Shami,"Mohammed Shami to Rinku Singh, no run,",0
3129,13,105,2,17.2,1,Rinku Singh,Mohammed Shami,"Mohammed Shami to Rinku Singh, 1 run,",1
3130,13,106,2,17.3,1,Umesh Yadav,Mohammed Shami,"Mohammed Shami to Umesh Yadav, 1 run,",1
3131,13,107,2,17.4,1,Rinku Singh,Mohammed Shami,"Mohammed Shami to Rinku Singh, 1 run,",1
3132,13,108,2,17.5,1,Umesh Yadav,Mohammed Shami,"Mohammed Shami to Umesh Yadav, 1 run,",1
3133,13,109,2,17.6,1,Rinku Singh,Mohammed Shami,"Mohammed Shami to Rinku Singh, 1 run,",1
3134,13,110,2,18.1,1wd,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, 1 wide,",1
3135,13,111,2,18.1,1wd,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, 1 wide,",1
3136,13,112,2,18.1,1,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, 1 run,",1
3137,13,113,2,18.2,1,Umesh Yadav,Josh Little,"Josh Little to Umesh Yadav, 1 run,",1
3138,13,114,2,18.3,0,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, no run,",0
3139,13,115,2,18.4,0,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, no run,",0
3140,13,116,2,18.5,6,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, Six,",6
3141,13,117,2,18.6,4,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, Four,",4
3142,13,118,2,19.1,1,Umesh Yadav,Yash Dayal,"Yash Dayal to Umesh Yadav, 1 run,",1
3143,13,119,2,19.2,6,Rinku Singh,Yash Dayal,"Yash Dayal to Rinku Singh, Six,",6
3144,13,120,2,19.3,6,Rinku Singh,Yash Dayal,"Yash Dayal to Rinku Singh, Six,",6
3145,13,121,2,19.4,6,Rinku Singh,Yash Dayal,"Yash Dayal to Rinku Singh, Six,",6
3146,13,122,2,19.5,6,Rinku Singh,Yash Dayal,"Yash Dayal to Rinku Singh, Six,",6
3147,13,123,2,19.6,6,Rinku Singh,Yash Dayal,"Yash Dayal to Rinku Singh, Six,",6
3148,14,1,1,0.1,w,Prabhsimran Singh,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Prabhsimran Singh, no run,                           Wicket - lbw b B Kumar batsmen out 0(1)",0
3149,14,2,1,0.2,1wd,Matthew Short,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Matthew Short, 1 wide,",1
3150,14,3,1,0.2,1,Matthew Short,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Matthew Short, 1 run,",1
3151,14,4,1,0.3,1wd,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, 1 wide,",1
3152,14,5,1,0.3,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,",0
3153,14,6,1,0.4,2,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, 2 runs,",2
3154,14,7,1,0.5,4,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, Four,",4
3155,14,8,1,0.6,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,",0
3156,14,9,1,1.1,1wd,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, 1 wide,",1
3157,14,10,1,1.1,0,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, no run,",0
3158,14,11,1,1.2,w,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, no run,                           Wicket - lbw b M Jansen batsmen out 1(3)",0
3159,14,12,1,1.3,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,",0
3160,14,13,1,1.4,4,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, Four,",4
3161,14,14,1,1.5,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,",0
3162,14,15,1,1.6,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,",0
3163,14,16,1,2.1,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,",0
